Epoch: [0][0/3789], lr: 0.00100	Time 18.386 (18.386)	Data 3.912 (3.912)	Loss 3.6088 (3.6088)	Prec@1 3.125 (3.125)	Prec@5 18.750 (18.750)
Epoch: [0][20/3789], lr: 0.00100	Time 4.153 (5.125)	Data 3.663 (3.965)	Loss 2.3340 (3.0097)	Prec@1 43.750 (38.839)	Prec@5 78.125 (64.732)
Epoch: [0][40/3789], lr: 0.00100	Time 3.926 (4.767)	Data 3.439 (3.933)	Loss 2.7118 (2.6331)	Prec@1 25.000 (41.768)	Prec@5 65.625 (68.445)
Epoch: [0][60/3789], lr: 0.00100	Time 4.125 (4.669)	Data 3.636 (3.948)	Loss 1.4720 (2.4337)	Prec@1 62.500 (44.109)	Prec@5 84.375 (70.236)
Epoch: [0][80/3789], lr: 0.00100	Time 3.931 (4.599)	Data 3.434 (3.936)	Loss 1.9181 (2.3294)	Prec@1 50.000 (45.332)	Prec@5 78.125 (71.373)
Epoch: [0][100/3789], lr: 0.00100	Time 4.185 (4.562)	Data 3.715 (3.935)	Loss 1.8631 (2.2410)	Prec@1 53.125 (46.535)	Prec@5 71.875 (72.246)
Epoch: [0][120/3789], lr: 0.00100	Time 3.885 (4.539)	Data 3.409 (3.934)	Loss 1.9097 (2.1752)	Prec@1 53.125 (47.392)	Prec@5 78.125 (73.140)
Epoch: [0][140/3789], lr: 0.00100	Time 4.360 (4.522)	Data 3.877 (3.933)	Loss 1.8835 (2.1167)	Prec@1 53.125 (48.249)	Prec@5 75.000 (73.980)
Epoch: [0][160/3789], lr: 0.00100	Time 4.159 (4.495)	Data 3.666 (3.919)	Loss 1.2049 (2.0647)	Prec@1 71.875 (48.913)	Prec@5 90.625 (75.000)
Epoch: [0][180/3789], lr: 0.00100	Time 4.191 (4.490)	Data 3.718 (3.924)	Loss 1.4342 (2.0284)	Prec@1 62.500 (49.292)	Prec@5 84.375 (75.639)
Epoch: [0][200/3789], lr: 0.00100	Time 3.875 (4.462)	Data 3.396 (3.905)	Loss 1.4733 (1.9946)	Prec@1 62.500 (49.689)	Prec@5 90.625 (76.213)
Epoch: [0][220/3789], lr: 0.00100	Time 4.054 (4.450)	Data 3.584 (3.899)	Loss 1.5524 (1.9721)	Prec@1 56.250 (50.057)	Prec@5 93.750 (76.598)
Epoch: [0][240/3789], lr: 0.00100	Time 3.988 (4.447)	Data 3.502 (3.902)	Loss 1.4001 (1.9440)	Prec@1 56.250 (50.441)	Prec@5 84.375 (77.101)
Epoch: [0][260/3789], lr: 0.00100	Time 4.072 (4.433)	Data 3.591 (3.892)	Loss 1.4894 (1.9187)	Prec@1 56.250 (50.718)	Prec@5 84.375 (77.431)
Epoch: [0][280/3789], lr: 0.00100	Time 4.024 (4.428)	Data 3.535 (3.891)	Loss 2.1185 (1.8945)	Prec@1 34.375 (51.056)	Prec@5 75.000 (77.836)
Epoch: [0][300/3789], lr: 0.00100	Time 4.097 (4.419)	Data 3.605 (3.885)	Loss 1.5984 (1.8757)	Prec@1 50.000 (51.339)	Prec@5 84.375 (78.187)
Epoch: [0][320/3789], lr: 0.00100	Time 4.018 (4.416)	Data 3.521 (3.886)	Loss 1.3971 (1.8567)	Prec@1 59.375 (51.723)	Prec@5 81.250 (78.524)
Epoch: [0][340/3789], lr: 0.00100	Time 4.151 (4.407)	Data 3.671 (3.879)	Loss 1.8450 (1.8386)	Prec@1 43.750 (52.034)	Prec@5 81.250 (78.867)
Epoch: [0][360/3789], lr: 0.00100	Time 3.814 (4.402)	Data 3.345 (3.877)	Loss 1.7553 (1.8158)	Prec@1 56.250 (52.458)	Prec@5 81.250 (79.294)
Epoch: [0][380/3789], lr: 0.00100	Time 4.087 (4.396)	Data 3.615 (3.872)	Loss 1.2746 (1.8004)	Prec@1 68.750 (52.657)	Prec@5 84.375 (79.569)
Epoch: [0][400/3789], lr: 0.00100	Time 4.069 (4.388)	Data 3.580 (3.866)	Loss 1.4200 (1.7930)	Prec@1 62.500 (52.720)	Prec@5 78.125 (79.723)
Epoch: [0][420/3789], lr: 0.00100	Time 3.755 (4.389)	Data 3.284 (3.869)	Loss 1.3702 (1.7773)	Prec@1 56.250 (52.969)	Prec@5 87.500 (79.996)
Epoch: [0][440/3789], lr: 0.00100	Time 4.196 (4.384)	Data 3.714 (3.865)	Loss 1.9336 (1.7639)	Prec@1 50.000 (53.075)	Prec@5 78.125 (80.201)
